` _
~ _
< _
> _
_ _
- _
, _
; _
: _
! _
? _
?! _
/ _
/? _
. _
.. _
... _
.... _
..... _
...... _
....... _
......... _
· _
' _
" _
« _
» _
( _
) _
[ _
] _
§ _
$ _
* _
***** _
& _
% _
+ _
→ _
— _
A SubPOS=f|Deg=c|Num=p|Cas=3|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=a|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=c|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=d|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=g|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=i|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=n|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=p|Cas=n|NumP=none|PerP=none|NumPd=s
A SubPOS=f|Deg=c|Num=s|Cas=2|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=3|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=a|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=b|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=d|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=e|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=g|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=h|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=i|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=i|NumP=s|PerP=3|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=p|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=s|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=t|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=w|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=c|Num=s|Cas=y|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=2|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=3|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=a|NumP=none|PerP=none|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=a|NumP=none|PerP=none|NumPd=s
A SubPOS=f|Deg=p|Num=p|Cas=a|NumP=p|PerP=3|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=a|NumP=s|PerP=3|NumPd=none
A SubPOS=f|Deg=p|Num=p|Cas=b|NumP=none|PerP=none|NumPd=none
